Transaction_ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,CUST001,Male,34.0,Beauty,3.0,50.0,150.0
2,2023-02-27,CUST002,Female,26.0,Clothing,2.0,500.0,1000.0
3,2023-01-13,CUST003,Male,50.0,Electronics,1.0,30.0,30.0
5,2023-05-21,CUST005,Male,37.0,Clothing,1.0,500.0,500.0
6,2023-05-06,CUST006,Male,30.0,Beauty,2.0,50.0,100.0
7,2023-04-25,CUST007,Female,45.0,Beauty,1.0,30.0,30.0
8,2023-03-13,CUST008,Male,46.0,Clothing,2.0,25.0,50.0
9,2023-02-22,CUST009,Male,30.0,Electronics,4.0,25.0,100.0
10,2023-12-13,CUST010,Male,63.0,Electronics,2.0,300.0,600.0
11,2023-10-07,CUST011,Female,52.0,Clothing,4.0,50.0,200.0
12,2023-02-14,CUST012,Male,23.0,Clothing,2.0,50.0,100.0
13,2023-10-30,CUST013,Male,35.0,Beauty,3.0,25.0,75.0
14,2023-08-05,CUST014,Male,22.0,Electronics,3.0,500.0,1500.0
15,2023-01-17,CUST015,Male,64.0,Clothing,4.0,30.0,120.0
17,2023-01-16,CUST017,Female,42.0,Electronics,4.0,500.0,2000.0
18,2023-02-17,CUST018,Male,19.0,Clothing,3.0,500.0,1500.0
19,2023-04-22,CUST019,Female,27.0,Clothing,4.0,25.0,100.0
20,2023-04-30,CUST020,Female,47.0,Electronics,2.0,25.0,50.0
21,2023-09-16,CUST021,Female,62.0,Clothing,2.0,25.0,50.0
22,2023-11-05,CUST022,Male,22.0,Clothing,3.0,300.0,900.0
23,2023-01-14,CUST023,Female,50.0,Beauty,1.0,500.0,500.0
24,2023-10-15,CUST024,Male,18.0,Clothing,2.0,50.0,100.0
25,2023-04-12,CUST025,Female,35.0,Clothing,4.0,30.0,120.0
26,2023-11-29,CUST026,Female,49.0,Clothing,1.0,300.0,300.0
27,2023-12-26,CUST027,Female,64.0,Beauty,1.0,50.0,50.0
28,2023-10-07,CUST028,Female,28.0,Electronics,2.0,500.0,1000.0
31,2023-08-03,CUST031,Female,38.0,Beauty,2.0,25.0,50.0
32,2023-04-23,CUST032,Female,43.0,Beauty,1.0,500.0,500.0
33,2023-08-18,CUST033,Female,42.0,Electronics,1.0,30.0,30.0
34,2023-10-29,CUST034,Female,39.0,Beauty,3.0,300.0,900.0
35,2023-05-23,CUST035,Male,44.0,Electronics,4.0,300.0,1200.0
36,2023-01-04,CUST036,Male,30.0,Beauty,3.0,30.0,90.0
37,2023-03-23,CUST037,Female,50.0,Electronics,2.0,50.0,100.0
38,2023-12-24,CUST038,Female,51.0,Clothing,3.0,50.0,150.0
40,2023-08-05,CUST040,Female,58.0,Beauty,3.0,300.0,900.0
41,2023-06-24,CUST041,Male,52.0,Beauty,3.0,300.0,900.0
42,2023-05-23,CUST042,Female,18.0,Beauty,3.0,25.0,75.0
43,2023-03-21,CUST043,Male,38.0,Beauty,4.0,50.0,200.0
45,2023-04-21,CUST045,Male,23.0,Clothing,4.0,30.0,120.0
46,2023-06-22,CUST046,Male,45.0,Beauty,1.0,50.0,50.0
47,2023-02-22,CUST047,Male,34.0,Clothing,2.0,25.0,50.0
48,2023-02-17,CUST048,Male,22.0,Clothing,3.0,300.0,900.0
49,2023-07-14,CUST049,Female,48.0,Clothing,1.0,300.0,300.0
50,2023-02-19,CUST050,Female,22.0,Clothing,1.0,25.0,25.0
51,2023-07-03,CUST051,Female,55.0,Electronics,1.0,30.0,30.0
52,2023-06-26,CUST052,Female,20.0,Electronics,4.0,300.0,1200.0
53,2023-11-06,CUST053,Female,40.0,Beauty,3.0,500.0,1500.0
54,2023-05-16,CUST054,Male,54.0,Electronics,3.0,300.0,900.0
55,2023-01-23,CUST055,Female,54.0,Electronics,2.0,500.0,1000.0
57,2023-08-24,CUST057,Female,27.0,Beauty,3.0,25.0,75.0
58,2023-10-02,CUST058,Male,27.0,Beauty,3.0,25.0,75.0
59,2023-03-05,CUST059,Female,36.0,Beauty,1.0,300.0,300.0
60,2023-07-13,CUST060,Male,34.0,Electronics,2.0,50.0,100.0
62,2023-02-10,CUST062,Female,38.0,Electronics,3.0,500.0,1500.0
63,2023-10-10,CUST063,Male,31.0,Beauty,4.0,30.0,120.0
64,2023-05-31,CUST064,Female,26.0,Clothing,3.0,300.0,900.0
65,2023-11-18,CUST065,Female,63.0,Beauty,1.0,30.0,30.0
66,2023-11-13,CUST066,Male,18.0,Clothing,4.0,300.0,1200.0
67,2023-07-05,CUST067,Male,62.0,Clothing,1.0,50.0,50.0
68,2023-10-23,CUST068,Male,30.0,Beauty,3.0,50.0,150.0
69,2023-04-09,CUST069,Male,21.0,Beauty,4.0,50.0,200.0
70,2023-12-27,CUST070,Male,18.0,Beauty,2.0,50.0,100.0
72,2023-02-05,CUST072,Male,57.0,Electronics,2.0,25.0,50.0
73,2023-01-24,CUST073,Male,49.0,Clothing,4.0,25.0,100.0
74,2023-12-05,CUST074,Male,51.0,Electronics,4.0,500.0,2000.0
75,2023-04-27,CUST075,Female,45.0,Electronics,1.0,30.0,30.0
76,2023-05-29,CUST076,Female,48.0,Beauty,4.0,300.0,1200.0
77,2023-02-10,CUST077,Male,25.0,Electronics,1.0,300.0,300.0
78,2023-04-30,CUST078,Female,56.0,Beauty,3.0,25.0,75.0
82,2023-02-21,CUST082,Female,43.0,Clothing,1.0,300.0,300.0
83,2023-07-14,CUST083,Female,51.0,Beauty,4.0,25.0,100.0
85,2023-05-23,CUST085,Female,20.0,Electronics,4.0,500.0,2000.0
86,2023-08-21,CUST086,Male,29.0,Electronics,3.0,30.0,90.0
87,2023-11-22,CUST087,Female,18.0,Beauty,4.0,500.0,2000.0
88,2023-07-06,CUST088,Male,61.0,Beauty,4.0,50.0,200.0
89,2023-03-25,CUST089,Female,22.0,Electronics,2.0,50.0,100.0
90,2023-07-09,CUST090,Female,47.0,Clothing,2.0,50.0,100.0
91,2023-07-01,CUST091,Female,47.0,Clothing,3.0,500.0,1500.0
92,2023-04-18,CUST092,Male,34.0,Beauty,1.0,300.0,300.0
93,2023-12-10,CUST093,Female,64.0,Clothing,2.0,30.0,60.0
94,2023-05-17,CUST094,Male,40.0,Electronics,1.0,50.0,50.0
95,2023-12-26,CUST095,Female,32.0,Beauty,4.0,50.0,200.0
96,2023-12-16,CUST096,Male,54.0,Electronics,2.0,50.0,100.0
97,2023-11-28,CUST097,Female,38.0,Electronics,3.0,30.0,90.0
98,2023-02-06,CUST098,Male,31.0,Clothing,3.0,50.0,150.0
99,2023-11-08,CUST099,Male,19.0,Beauty,3.0,30.0,90.0
100,2023-11-22,CUST100,Female,28.0,Beauty,2.0,50.0,100.0
101,2023-03-29,CUST101,Male,56.0,Clothing,1.0,500.0,500.0
102,2023-10-01,CUST102,Female,55.0,Electronics,4.0,500.0,2000.0
103,2023-05-06,CUST103,Female,51.0,Electronics,1.0,30.0,30.0
104,2023-03-25,CUST104,Female,55.0,Electronics,1.0,500.0,500.0
105,2023-08-25,CUST105,Female,51.0,Electronics,4.0,30.0,120.0
106,2023-07-14,CUST106,Female,35.0,Beauty,4.0,500.0,2000.0
107,2023-05-19,CUST107,Female,47.0,Beauty,2.0,500.0,1000.0
108,2023-11-24,CUST108,Female,32.0,Clothing,2.0,30.0,60.0
109,2023-12-19,CUST109,Female,44.0,Clothing,2.0,300.0,600.0
110,2023-10-13,CUST110,Female,51.0,Beauty,2.0,500.0,1000.0
111,2023-04-23,CUST111,Female,55.0,Beauty,2.0,50.0,100.0
113,2023-12-17,CUST113,Female,50.0,Electronics,4.0,300.0,1200.0
114,2023-06-16,CUST114,Male,41.0,Electronics,1.0,30.0,30.0
115,2023-01-29,CUST115,Male,32.0,Clothing,2.0,300.0,600.0
116,2023-04-28,CUST116,Female,47.0,Beauty,2.0,25.0,50.0
117,2023-01-17,CUST117,Female,59.0,Clothing,1.0,25.0,25.0
118,2023-06-11,CUST118,Female,34.0,Beauty,2.0,500.0,1000.0
119,2023-07-25,CUST119,Female,22.0,Electronics,1.0,500.0,500.0
121,2023-05-18,CUST121,Female,46.0,Clothing,1.0,50.0,50.0
122,2023-02-03,CUST122,Female,21.0,Clothing,4.0,300.0,1200.0
123,2023-04-19,CUST123,Female,27.0,Beauty,3.0,25.0,75.0
124,2023-10-18,CUST124,Female,34.0,Electronics,4.0,500.0,2000.0
125,2023-06-11,CUST125,Male,27.0,Clothing,3.0,300.0,900.0
130,2023-04-19,CUST130,Female,34.0,Electronics,3.0,500.0,1500.0
131,2023-12-02,CUST131,Male,37.0,Clothing,3.0,500.0,1500.0
132,2023-09-13,CUST132,Female,41.0,Electronics,2.0,25.0,50.0
133,2023-07-22,CUST133,Female,22.0,Beauty,4.0,25.0,100.0
134,2023-11-26,CUST134,Male,51.0,Clothing,3.0,500.0,1500.0
135,2023-08-23,CUST135,Female,23.0,Clothing,1.0,30.0,30.0
136,2023-03-15,CUST136,Male,19.0,Electronics,2.0,500.0,1000.0
137,2023-05-16,CUST137,Female,30.0,Electronics,4.0,500.0,2000.0
138,2023-03-13,CUST138,Female,60.0,Clothing,3.0,50.0,150.0
139,2023-05-07,CUST139,Male,60.0,Beauty,1.0,50.0,50.0
140,2023-10-15,CUST140,Female,28.0,Electronics,4.0,50.0,200.0
141,2023-10-03,CUST141,Male,64.0,Electronics,4.0,30.0,120.0
142,2023-05-15,CUST142,Female,40.0,Electronics,2.0,30.0,60.0
143,2023-10-27,CUST143,Male,33.0,Clothing,4.0,500.0,2000.0
145,2023-08-08,CUST145,Male,48.0,Clothing,2.0,50.0,100.0
146,2023-10-26,CUST146,Female,28.0,Clothing,3.0,30.0,90.0
147,2023-07-24,CUST147,Female,33.0,Clothing,2.0,25.0,50.0
148,2023-07-05,CUST148,Male,25.0,Beauty,1.0,500.0,500.0
149,2023-04-23,CUST149,Female,21.0,Beauty,2.0,300.0,600.0
150,2023-03-12,CUST150,Female,57.0,Clothing,1.0,500.0,500.0
151,2023-09-18,CUST151,Female,21.0,Beauty,2.0,300.0,600.0
152,2023-09-10,CUST152,Male,42.0,Electronics,4.0,50.0,200.0
153,2023-02-16,CUST153,Male,20.0,Electronics,3.0,300.0,900.0
154,2023-01-25,CUST154,Male,49.0,Electronics,1.0,50.0,50.0
155,2023-02-26,CUST155,Male,20.0,Clothing,2.0,25.0,50.0
156,2023-03-20,CUST156,Male,44.0,Electronics,2.0,300.0,600.0
157,2023-11-18,CUST157,Male,46.0,Beauty,2.0,500.0,1000.0
158,2023-03-23,CUST158,Male,49.0,Clothing,4.0,50.0,200.0
159,2023-12-15,CUST159,Male,36.0,Beauty,4.0,500.0,2000.0
160,2023-08-05,CUST160,Male,38.0,Electronics,1.0,30.0,30.0
161,2023-11-02,CUST161,Female,22.0,Electronics,1.0,50.0,50.0
162,2023-02-02,CUST162,Male,35.0,Electronics,4.0,300.0,1200.0
163,2023-07-17,CUST163,Female,45.0,Clothing,1.0,50.0,50.0
164,2023-07-15,CUST164,Female,59.0,Beauty,3.0,500.0,1500.0
165,2023-11-02,CUST165,Female,39.0,Clothing,3.0,25.0,75.0
166,2023-08-28,CUST166,Male,38.0,Clothing,4.0,50.0,200.0
167,2023-09-28,CUST167,Male,23.0,Electronics,1.0,300.0,300.0
168,2023-05-09,CUST168,Male,18.0,Clothing,2.0,30.0,60.0
169,2023-10-11,CUST169,Male,22.0,Clothing,3.0,25.0,75.0
170,2023-01-06,CUST170,Female,58.0,Electronics,4.0,30.0,120.0
171,2023-12-15,CUST171,Male,29.0,Clothing,1.0,50.0,50.0
172,2023-02-28,CUST172,Male,43.0,Electronics,4.0,500.0,2000.0
173,2023-12-16,CUST173,Male,63.0,Electronics,2.0,500.0,1000.0
174,2023-10-02,CUST174,Male,51.0,Electronics,3.0,300.0,900.0
175,2023-05-17,CUST175,Male,31.0,Electronics,4.0,500.0,2000.0
176,2023-11-25,CUST176,Female,43.0,Clothing,4.0,25.0,100.0
177,2023-06-24,CUST177,Male,62.0,Electronics,4.0,500.0,2000.0
178,2023-02-27,CUST178,Female,44.0,Electronics,2.0,300.0,600.0
179,2023-05-31,CUST179,Male,26.0,Clothing,4.0,50.0,200.0
180,2023-08-11,CUST180,Female,43.0,Clothing,2.0,50.0,100.0
181,2023-03-22,CUST181,Male,64.0,Beauty,2.0,500.0,1000.0
182,2023-08-21,CUST182,Male,39.0,Clothing,2.0,30.0,60.0
183,2023-01-02,CUST183,Female,64.0,Clothing,3.0,50.0,150.0
184,2023-05-15,CUST184,Female,47.0,Beauty,3.0,500.0,1500.0
185,2023-09-14,CUST185,Female,60.0,Clothing,4.0,300.0,1200.0
186,2023-04-02,CUST186,Male,34.0,Clothing,4.0,500.0,2000.0
187,2023-09-17,CUST187,Female,43.0,Clothing,3.0,50.0,150.0
188,2023-02-24,CUST188,Male,53.0,Clothing,1.0,300.0,300.0
189,2023-11-17,CUST189,Male,18.0,Beauty,3.0,500.0,1500.0
190,2023-06-02,CUST190,Female,25.0,Clothing,2.0,25.0,50.0
191,2023-11-24,CUST191,Female,52.0,Clothing,3.0,300.0,900.0
192,2023-09-17,CUST192,Male,32.0,Beauty,2.0,25.0,50.0
193,2023-11-08,CUST193,Male,64.0,Electronics,4.0,30.0,120.0
194,2023-04-12,CUST194,Female,39.0,Beauty,1.0,300.0,300.0
195,2023-03-20,CUST195,Female,31.0,Electronics,4.0,25.0,100.0
196,2023-07-11,CUST196,Female,43.0,Beauty,2.0,50.0,100.0
197,2023-03-24,CUST197,Male,45.0,Beauty,2.0,50.0,100.0
198,2023-10-04,CUST198,Male,40.0,Clothing,2.0,30.0,60.0
200,2023-09-29,CUST200,Male,31.0,Electronics,1.0,300.0,300.0
201,2023-01-01,CUST201,Male,41.0,Clothing,3.0,300.0,900.0
202,2023-11-03,CUST202,Male,19.0,Electronics,4.0,300.0,1200.0
203,2023-06-15,CUST203,Male,62.0,Beauty,4.0,30.0,120.0
204,2023-09-08,CUST204,Female,43.0,Beauty,3.0,300.0,900.0
205,2023-01-10,CUST205,Male,31.0,Electronics,4.0,50.0,200.0
206,2023-02-27,CUST206,Male,24.0,Clothing,1.0,25.0,25.0
207,2023-07-05,CUST207,Male,20.0,Clothing,4.0,50.0,200.0
208,2023-06-07,CUST208,Female,64.0,Clothing,2.0,50.0,100.0
209,2023-05-03,CUST209,Male,40.0,Clothing,3.0,25.0,75.0
210,2023-01-30,CUST210,Male,63.0,Beauty,1.0,50.0,50.0
211,2023-05-04,CUST211,Female,60.0,Beauty,3.0,30.0,90.0
212,2023-10-18,CUST212,Male,64.0,Beauty,1.0,25.0,25.0
214,2023-02-10,CUST214,Male,62.0,Beauty,2.0,50.0,100.0
215,2023-02-13,CUST215,Male,35.0,Beauty,3.0,500.0,1500.0
216,2023-09-06,CUST216,Male,55.0,Clothing,4.0,50.0,200.0
217,2023-02-05,CUST217,Male,52.0,Clothing,1.0,30.0,30.0
218,2023-09-30,CUST218,Female,32.0,Clothing,3.0,300.0,900.0
219,2023-03-06,CUST219,Female,42.0,Clothing,4.0,50.0,200.0
220,2023-03-07,CUST220,Female,54.0,Beauty,3.0,300.0,900.0
221,2023-12-04,CUST221,Male,45.0,Beauty,3.0,500.0,1500.0
222,2023-09-01,CUST222,Male,27.0,Beauty,3.0,50.0,150.0
223,2023-10-09,CUST223,Male,56.0,Electronics,1.0,25.0,25.0
224,2023-03-26,CUST224,Female,34.0,Clothing,4.0,300.0,1200.0
225,2023-05-16,CUST225,Male,56.0,Clothing,2.0,500.0,1000.0
226,2023-09-28,CUST226,Male,39.0,Beauty,1.0,25.0,25.0
227,2023-11-07,CUST227,Female,43.0,Clothing,1.0,25.0,25.0
228,2023-08-05,CUST228,Male,61.0,Clothing,1.0,25.0,25.0
229,2023-04-19,CUST229,Female,42.0,Beauty,2.0,25.0,50.0
230,2023-10-04,CUST230,Female,34.0,Electronics,4.0,50.0,200.0
231,2023-12-20,CUST231,Female,30.0,Electronics,4.0,50.0,200.0
232,2023-04-13,CUST232,Male,37.0,Electronics,4.0,50.0,200.0
233,2024-01-01,CUST233,Male,42.0,Beauty,3.0,500.0,1500.0
234,2023-06-09,CUST234,Male,21.0,Clothing,3.0,500.0,1500.0
235,2023-07-24,CUST235,Male,27.0,Beauty,3.0,500.0,1500.0
236,2023-12-10,CUST236,Male,20.0,Beauty,2.0,30.0,60.0
238,2023-11-29,CUST238,Male,58.0,Clothing,3.0,500.0,1500.0
239,2023-07-11,CUST239,Male,62.0,Electronics,2.0,50.0,100.0
240,2023-08-13,CUST240,Female,35.0,Electronics,4.0,50.0,200.0
241,2023-09-22,CUST241,Male,64.0,Beauty,3.0,30.0,90.0
242,2023-08-20,CUST242,Female,53.0,Electronics,3.0,30.0,90.0
243,2023-03-03,CUST243,Male,64.0,Beauty,1.0,500.0,500.0
244,2023-05-07,CUST244,Male,39.0,Beauty,2.0,300.0,600.0
245,2023-04-26,CUST245,Male,51.0,Clothing,4.0,30.0,120.0
246,2023-02-02,CUST246,Female,64.0,Clothing,1.0,25.0,25.0
247,2023-06-23,CUST247,Female,25.0,Clothing,1.0,50.0,50.0
248,2023-01-11,CUST248,Female,57.0,Beauty,4.0,25.0,100.0
249,2023-10-29,CUST249,Female,61.0,Clothing,1.0,50.0,50.0
250,2023-10-11,CUST250,Male,36.0,Electronics,2.0,50.0,100.0
251,2023-04-28,CUST251,Female,59.0,Electronics,2.0,30.0,60.0
252,2023-10-29,CUST252,Male,58.0,Beauty,3.0,30.0,90.0
253,2023-04-23,CUST253,Male,54.0,Beauty,1.0,25.0,25.0
254,2023-01-04,CUST254,Female,23.0,Clothing,3.0,50.0,150.0
255,2023-02-06,CUST255,Female,43.0,Beauty,1.0,25.0,25.0
256,2023-12-29,CUST256,Female,51.0,Beauty,2.0,300.0,600.0
257,2023-11-20,CUST257,Female,62.0,Electronics,2.0,25.0,50.0
258,2023-01-31,CUST258,Female,23.0,Electronics,2.0,500.0,1000.0
259,2023-04-28,CUST259,Female,54.0,Clothing,1.0,25.0,25.0
260,2023-02-04,CUST260,Female,50.0,Beauty,2.0,500.0,1000.0
261,2023-01-17,CUST261,Female,39.0,Beauty,1.0,500.0,500.0
262,2023-06-19,CUST262,Male,38.0,Electronics,3.0,500.0,1500.0
263,2023-02-06,CUST263,Female,23.0,Beauty,1.0,300.0,300.0
264,2023-09-21,CUST264,Female,23.0,Electronics,3.0,25.0,75.0
265,2023-05-02,CUST265,Male,21.0,Clothing,1.0,25.0,25.0
266,2023-05-23,CUST266,Female,47.0,Electronics,3.0,300.0,900.0
267,2023-12-09,CUST267,Male,28.0,Beauty,2.0,50.0,100.0
268,2023-09-06,CUST268,Male,47.0,Clothing,3.0,30.0,90.0
269,2023-04-20,CUST269,Female,48.0,Electronics,2.0,25.0,50.0
270,2023-10-04,CUST270,Male,41.0,Electronics,2.0,30.0,60.0
271,2023-03-09,CUST271,Male,26.0,Clothing,3.0,300.0,900.0
272,2023-10-20,CUST272,Male,20.0,Clothing,1.0,50.0,50.0
273,2023-10-23,CUST273,Male,48.0,Electronics,1.0,50.0,50.0
274,2023-08-31,CUST274,Female,57.0,Beauty,4.0,50.0,200.0
275,2023-05-05,CUST275,Male,54.0,Electronics,1.0,300.0,300.0
276,2023-08-31,CUST276,Female,53.0,Clothing,4.0,500.0,2000.0
277,2023-07-28,CUST277,Male,41.0,Electronics,1.0,500.0,500.0
278,2023-04-08,CUST278,Male,48.0,Clothing,1.0,30.0,30.0
279,2023-02-18,CUST279,Male,23.0,Clothing,2.0,500.0,1000.0
280,2023-02-19,CUST280,Male,19.0,Beauty,4.0,500.0,2000.0
281,2023-12-04,CUST281,Female,37.0,Clothing,1.0,50.0,50.0
282,2023-08-09,CUST282,Female,45.0,Clothing,4.0,50.0,200.0
283,2023-07-01,CUST283,Male,28.0,Beauty,2.0,30.0,60.0
284,2023-08-05,CUST284,Male,21.0,Clothing,2.0,25.0,50.0
285,2023-07-30,CUST285,Female,32.0,Beauty,4.0,30.0,120.0
286,2023-08-28,CUST286,Male,23.0,Beauty,2.0,30.0,60.0
287,2023-01-28,CUST287,Male,47.0,Clothing,3.0,300.0,900.0
288,2023-12-11,CUST288,Male,55.0,Clothing,3.0,300.0,900.0
289,2023-12-01,CUST289,Female,19.0,Electronics,2.0,30.0,60.0
290,2023-11-27,CUST290,Female,32.0,Beauty,3.0,30.0,90.0
292,2023-02-20,CUST292,Female,28.0,Electronics,1.0,30.0,30.0
293,2023-02-01,CUST293,Male,25.0,Clothing,4.0,500.0,2000.0
294,2023-07-26,CUST294,Male,43.0,Electronics,1.0,300.0,300.0
295,2023-06-23,CUST295,Female,62.0,Beauty,4.0,30.0,120.0
296,2023-02-25,CUST296,Female,61.0,Electronics,2.0,50.0,100.0
297,2023-05-08,CUST297,Female,22.0,Beauty,1.0,50.0,50.0
298,2023-04-09,CUST298,Female,23.0,Clothing,2.0,500.0,1000.0
299,2023-04-08,CUST299,Male,43.0,Clothing,2.0,500.0,1000.0
300,2023-10-02,CUST300,Female,21.0,Beauty,4.0,25.0,100.0
301,2023-08-18,CUST301,Male,36.0,Clothing,4.0,25.0,100.0
302,2023-03-13,CUST302,Female,37.0,Clothing,4.0,25.0,100.0
303,2023-08-05,CUST303,Male,50.0,Clothing,1.0,500.0,500.0
304,2023-04-04,CUST304,Female,37.0,Clothing,3.0,500.0,1500.0
305,2023-05-23,CUST305,Female,29.0,Beauty,4.0,500.0,2000.0
306,2023-08-25,CUST306,Female,64.0,Electronics,4.0,50.0,200.0
307,2023-05-08,CUST307,Female,18.0,Electronics,1.0,500.0,500.0
308,2023-02-08,CUST308,Male,43.0,Clothing,4.0,50.0,200.0
310,2023-08-15,CUST310,Female,31.0,Electronics,1.0,25.0,25.0
311,2023-10-09,CUST311,Male,55.0,Electronics,2.0,25.0,50.0
312,2023-02-20,CUST312,Male,54.0,Clothing,4.0,25.0,100.0
313,2023-01-26,CUST313,Male,28.0,Clothing,4.0,30.0,120.0
314,2023-11-30,CUST314,Male,53.0,Electronics,2.0,30.0,60.0
315,2023-10-04,CUST315,Female,30.0,Beauty,2.0,300.0,600.0
316,2023-01-08,CUST316,Male,60.0,Clothing,2.0,300.0,600.0
317,2023-02-17,CUST317,Male,20.0,Beauty,4.0,300.0,1200.0
318,2023-05-02,CUST318,Male,50.0,Electronics,3.0,30.0,90.0
319,2023-03-27,CUST319,Female,23.0,Clothing,3.0,30.0,90.0
320,2023-07-28,CUST320,Female,27.0,Beauty,3.0,300.0,900.0
321,2023-09-06,CUST321,Female,22.0,Clothing,4.0,300.0,1200.0
322,2023-09-04,CUST322,Female,40.0,Electronics,2.0,500.0,1000.0
323,2023-04-20,CUST323,Male,27.0,Beauty,4.0,300.0,1200.0
324,2023-07-25,CUST324,Male,61.0,Electronics,2.0,500.0,1000.0
325,2023-01-31,CUST325,Female,19.0,Electronics,4.0,50.0,200.0
326,2023-03-26,CUST326,Male,30.0,Clothing,4.0,30.0,120.0
327,2023-07-14,CUST327,Male,57.0,Beauty,2.0,300.0,600.0
328,2023-01-02,CUST328,Male,19.0,Electronics,3.0,30.0,90.0
331,2023-07-19,CUST331,Female,37.0,Electronics,2.0,30.0,60.0
332,2023-05-16,CUST332,Female,18.0,Beauty,1.0,30.0,30.0
333,2023-08-21,CUST333,Male,54.0,Electronics,1.0,50.0,50.0
334,2023-05-27,CUST334,Female,26.0,Electronics,2.0,25.0,50.0
335,2023-08-05,CUST335,Female,34.0,Beauty,4.0,300.0,1200.0
336,2023-12-23,CUST336,Female,26.0,Beauty,1.0,25.0,25.0
337,2023-10-12,CUST337,Female,28.0,Beauty,1.0,25.0,25.0
338,2023-12-05,CUST338,Female,32.0,Beauty,4.0,25.0,100.0
339,2023-09-07,CUST339,Male,41.0,Clothing,4.0,30.0,120.0
340,2023-03-21,CUST340,Female,55.0,Beauty,3.0,500.0,1500.0
341,2023-04-08,CUST341,Male,52.0,Clothing,4.0,30.0,120.0
342,2023-06-01,CUST342,Male,47.0,Clothing,2.0,30.0,60.0
343,2023-04-22,CUST343,Female,48.0,Clothing,2.0,25.0,50.0
344,2023-01-30,CUST344,Male,22.0,Electronics,3.0,30.0,90.0
345,2023-10-24,CUST345,Male,61.0,Clothing,1.0,25.0,25.0
346,2023-10-05,CUST346,Male,31.0,Clothing,1.0,500.0,500.0
347,2023-02-01,CUST347,Female,28.0,Electronics,4.0,300.0,1200.0
348,2023-06-10,CUST348,Female,26.0,Electronics,2.0,25.0,50.0
349,2023-01-30,CUST349,Male,51.0,Electronics,1.0,500.0,500.0
350,2023-01-26,CUST350,Female,29.0,Beauty,3.0,300.0,900.0
351,2023-10-27,CUST351,Female,52.0,Electronics,3.0,50.0,150.0
352,2023-09-02,CUST352,Female,52.0,Electronics,2.0,25.0,50.0
353,2023-09-15,CUST353,Female,18.0,Clothing,3.0,25.0,75.0
354,2023-09-29,CUST354,Male,57.0,Electronics,3.0,50.0,150.0
355,2023-03-22,CUST355,Male,39.0,Beauty,2.0,50.0,100.0
357,2023-01-30,CUST357,Female,46.0,Electronics,4.0,25.0,100.0
358,2023-09-18,CUST358,Female,25.0,Beauty,4.0,50.0,200.0
359,2023-02-11,CUST359,Male,28.0,Electronics,3.0,30.0,90.0
360,2023-04-06,CUST360,Male,58.0,Electronics,4.0,300.0,1200.0
361,2023-02-05,CUST361,Female,54.0,Electronics,4.0,300.0,1200.0
362,2023-11-01,CUST362,Male,31.0,Electronics,3.0,300.0,900.0
